less_0,18,credits_paid_to_date,car_new,462,less_100,1_to_4,2,female,none,2,savings_insurance,37,stores,own,2,skilled,1,none,yes,No Risk,0.8429198878882673  | 0.15708011211173262,No Risk,2020-08-05 16:19:21
less_0,15,prior_payments_delayed,furniture,250,less_100,1_to_4,2,male,none,3,real_estate,28,none,own,2,skilled,1,yes,no,No Risk,0.8291593300378401  | 0.1708406699621598,No Risk,2020-08-05 16:19:21
0_to_200,28,credits_paid_to_date,retraining,3693,less_100,greater_7,3,male,none,2,savings_insurance,32,none,own,1,skilled,1,none,yes,No Risk,0.7597326197933993 | 0.2402673802066007,No Risk,2020-08-05 16:19:21
no_checking,28,prior_payments_delayed,education,6235,500_to_1000,greater_7,3,male,none,3,unknown,57,none,own,2,skilled,1,none,yes,Risk,0.3401162589974068 | 0.6598837410025933,Risk,2020-08-05 16:19:21
no_checking,32,outstanding_credit,vacation,9604,500_to_1000,greater_7,6,male,co-applicant,5,unknown,57,none,free,2,skilled,2,yes,yes,Risk,0.07029391105036108 | 0.9297060889496389,Risk,2020-08-05 16:19:21
no_checking,9,prior_payments_delayed,car_new,1032,100_to_500,4_to_7,3,male,none,4,savings_insurance,41,none,own,1,management_self-employed,1,none,yes,No Risk,0.6461632944038149 | 0.3538367055961851,No Risk,2020-08-05 16:19:21
less_0,16,credits_paid_to_date,vacation,3109,less_100,4_to_7,3,female,none,1,car_other,36,none,own,2,skilled,1,none,yes,No Risk,0.7512138377764197 | 0.24878616222358024,No Risk,2020-08-05 16:19:21
0_to_200,11,credits_paid_to_date,car_new,4553,less_100,less_1,3,female,none,3,savings_insurance,22,none,own,1,management_self-employed,1,none,yes,No Risk,0.8600514096923415 | 0.13994859030765855,No Risk,2020-08-05 16:19:21
no_checking,35,outstanding_credit,appliances,7138,500_to_1000,greater_7,5,male,co-applicant,4,unknown,49,none,free,2,skilled,2,yes,yes,Risk,0.07029391105036108 | 0.9297060889496389,Risk,2020-08-05 16:19:21
less_0,5,all_credits_paid_back,car_new,1523,less_100,unemployed,2,female,none,2,real_estate,19,none,rent,1,management_self-employed,1,none,yes,No Risk,0.979069865613789 | 0.020930134386211004,No Risk,2020-08-05 16:19:21
